Animal ID,ID,group,nerve_term,n_perim,poly-in,blebs,tsc_a,tsc_p,tsc_no,achr_a,achr_p,ep_a,ep_p,ep_d,synaptic,overlap,coverage_area,coverage
127,377,2mo_ko,0,0,0,0,565.0668744,264.6089299,4,462.7136812,293.1604602,767.0695916,105.6669028,35.70676649,0,0,192.3466812,41.56926605
127,378,2mo_ko,46.735,36.888,1,1,516.4008278,164.1637219,6,322.1228799,134.7591574,424.0898347,78.96152031,26.98257784,20.08487987,6.235160904,247.9648799,76.97835061
127,379,2mo_ko,229.426,200.412,0,4,614.1191595,146.6114611,7,548.4586204,208.6604962,714.9273988,105.1520512,37.08111292,191.1876204,34.85907839,467.7346204,85.28166082
127,380,2mo_ko,107.761,124.79,1,0,332.16508,134.8216194,4,350.3182878,149.8254947,497.0889045,90.0857139,29.33495015,91.92428782,26.24021954,244.8752878,69.9008006
127,381,2mo_ko,251.827,232.578,0,0,519.876974,177.7738389,3,431.042127,250.4580886,645.4044751,102.3020727,37.00291014,233.674127,54.21143605,361.905127,83.96050046
127,382,2mo_ko,123.596,88.479,0,1,597.8971439,214.9636394,7,537.2577049,266.9181842,886.8035158,116.8535584,39.00999298,71.06770491,13.22786146,315.1707049,58.66285435
127,383,2mo_ko,118.189,126.157,0,1,397.4393806,169.738755,2,405.5503883,207.5317417,638.8384212,100.0294077,33.38110201,94.62838832,23.33332455,312.8533883,77.14291425
127,384,2mo_ko,110.078,198.993,1,1,697.933,192.263,10,353.408,185.32,555.025,98.786,34.198,79.951,22.62286083,293.927,83.16931139
127,385,2mo_ko,79.565,120.208,1,4,724.197,185.559,7,432.5870809,205.6855938,618.3677826,107.1489956,42.30180621,52.91508088,12.23223791,397.4390809,91.87493072
127,386,2mo_ko,334.546,237.593,0,1,625.6750685,185.9930022,8,497.5196991,269.7092183,691.9550959,102.8403081,34.29665784,251.0666991,50.46366999,427.2546991,85.87694113
127,387,2mo_ko,311.894,137.574,0,2,645.1815323,158.7442681,8,407.5382696,224.5475976,722.9976403,106.5501884,34.61927083,220.4442696,54.09167335,350.6972696,86.05259819
127,388,2mo_ko,171.573,248.945,0,0,489.9688099,236.7233921,4,359.0867306,251.1295822,657.3468537,104.8293879,35.19013822,129.8337306,36.1566495,281.8997306,78.50463595
